life.form,alien.native,species.name,period1,period2
T,A,Abutilon theophrasti Medik.,0,0
P,A,Acacia cyanophylla Lindl.,0,1
P,A,Acacia dealbata Link,0,0
P,A,Acacia karroo Hayne,0,0
P,A,Acacia provincialis A. Camus,0,0
P,A,Acacia pycnantha Benth.,0,1
P,A,Acacia retinodes Schltdl.,0,0
P,A,Acacia saligna (Labill.) H.L. Wendl.,0,0
H,N,Acanthus mollis L. subsp. mollis,1,1
P,N,Acer campestre L.,1,1
P,N,Acer monspessulanum L.,1,1
H,N,Achillea ageratum L.,1,0
H,N,Achillea ligustica All.,1,1
Ch,N,Achillea maritima (L.) Ehrend. & Y.P. Guo subsp. maritima,1,1
H,N,Achnatherum bromoides (L.) P. Beauv.,1,1
T,N,Acinos arvensis (Lam.) Dandy subsp. arvensis,0,0
G,N,Aconitum anthora L.,0,0
G,N,Adiantum capillus-veneris L.,1,1
T,N,Adonis annua L. subsp. cupaniana (Guss.) C. Steinb.,1,1
T,N,Aegilops geniculata Roth,1,1
T,N,Aegilops neglecta Req. ex Bertol.,1,0
T,N,Aegilops triuncialis L.,0,1
G,N,Aeluropus littoralis L.,1,0
P,A,Aeonium arboreum (L.) Webb & Berthel.,0,0
P,A,Aeonium haworthii Webb & Berth.,0,0
Ch,N,Aethionema saxatile (L.) R.Br.,1,1
P,A,Agave americana L.,0,1
H,N,Agrimonia eupatoria L. subsp. eupatoria,1,1
G,N,Agropogon littoralis (Sm.) C.E. Hubb.,0,0
T,N,Agrostemma githago L.,1,0
H,N,Agrostis canina L. subsp. canina,0,0
H,N,Agrostis capillaris L.,0,0
H,N,Agrostis castellana,0,0
Ch,N,Agrostis stolonifera L.,1,1
P,A,Ailanthus altissima (Mill.) Swingle,0,1
T,N,Aira caryophyllea L. subsp. caryophyllea,0,0
T,N,Aira cupaniana Guss.,1,1
T,N,Aira elegantissima Schur,1,1
T,N,Aira intermedia Guss.,1,1
T,N,Aira tenorei Guss.,0,0
T,N,Ajuga chamaepitys (L.) Schreb. subsp. chamaepitys,0,0
Ch,N,Ajuga iva (L.) Schreb. subsp. iva,1,1
P,A,Albizia julibrissin Durazz.,0,1
H,A,Alcea rosea L.,0,0
I,N,Alisma lanceolatum With.,0,0
I,N,Alisma plantago-aquatica L.,1,1
T,N,Alkanna lutea Moris,0,0
H,N,Alliaria petiolata (M. Bieb.) Cavara & Grande,1,1
G,N,Allium amethystinum Tausch,0,0
G,N,Allium ampeloprasum L.,1,1
G,N,Allium chamaemoly L. subsp. chamaemoly,1,1
G,N,Allium cirrhosum,0,0
G,N,Allium commutatum Guss.,1,0
G,N,Allium moschatum L.,1,0
G,N,Allium neapolitanum Cirillo,1,1
G,N,Allium nigrum L.,0,0
G,N,Allium oleraceum L. subsp. oleraceum,0,0
G,N,Allium pallens L. subsp. pallens,1,1
G,N,Allium paniculatum L. subsp. paniculatum,1,1
G,N,Allium parciflorum Viv.,0,0
G,N,Allium pendulinum Ten.,0,0
G,N,Allium porrum L.,0,0
G,N,Allium roseum L.,1,1
G,N,Allium rotundum L.,0,0
G,N,Allium scorodoprasum L.,0,0
G,N,Allium sphaerocephalon L.,1,1
G,N,Allium subhirsutum L.,1,1
G,N,Allium tenuiflorum Ten.,1,1
G,N,Allium triquetrum L.,1,1
G,N,Allium vineale L.,1,0
P,A,Alnus cordata (Loisel.) Loisel.,0,0
P,N,Alnus glutinosa (L.) Gaertn.,0,0
H,A,Aloe arborescens Mill.,0,0
H,N,Alopecurus bulbosus Gouan,0,0
T,N,Alopecurus rendlei Eig,1,0
T,N,Althaea hirsuta L.,1,0
H,N,Althaea officinalis L.,1,0
T,N,Alyssum alyssoides (L.)L.,0,0
T,N,Alyssum campestre (L.) L. s.l.,0,0
T,A,Amaranthus albus L.,0,1
T,A,Amaranthus blitoides S. Watson,0,0
T,N,Amaranthus blitum L. subsp. blitum,0,0
T,A,Amaranthus caudatus L.,0,0
T,A,Amaranthus cruentus L.,0,0
T,A,Amaranthus deflexus L.,1,1
T,N,Amaranthus graecizans L. s.l.,0,0
T,A,Amaranthus hybridus L.,0,0
T,A,Amaranthus retroflexus L.,0,1
T,N,Ambrosia maritima L.,1,0
T,N,Ammi majus L.,1,0
T,N,Ammi visnaga (L.) Lam.,0,0
T,N,Ammoides pusilla (Brot.) Breistr.,1,0
G,N,Ammophila arenaria (L.) Link subsp. arundinacea H. Lindb.,1,1
H,N,Ampelodesmos mauritanicus (Poir.) T. Durand & Schinz,1,1
G,N,"Anacamptis coriophora (L.) R.M. Bateman, Pridgeon & M.W. Chase subsp. fragrans (Pollini) R.M. Bateman, Pridgeon & M.W. Chase",1,1
G,N,"Anacamptis laxiflora (Lam.) R.M. Bateman, Pridgeon & M.W. Chase",1,1
G,N,"Anacamptis morio (L.) R.M. Bateman, Pridgeon & M.W. Chase",1,1
G,N,"Anacamptis papilionacea (L.) R.M. Bateman, Pridgeon & M.W. Chase",1,1
G,N,Anacamptis pyramidalis (L.) Rich.,1,1
G,N,"Anacamptis x gennarii (Rchb. f.) H. Kretzschmar, Eccarius & H. Dietr.",0,0
T,N,Anacyclus clavatus (Desf.) Pers.,1,0
T,N,Anacyclus radiatus Loisel. subsp. radiatus,1,1
T,N,Anagallis arvensis L. s.l.,1,1
T,N,Anagallis foemina Mill.,0,1
T,N,Anagallis minima (L.) E.H.L. Krause,0,0
T,N,Anagallis parviflora Hoffm. & link.,0,1
P,N,Anagyris foetida L.,0,0
H,N,Anchusa azurea Mill.,0,0
H,N,Anchusa hybrida Ten.,1,1
